category	relative_path	name	extension	size_bytes	last_write_time	candidate_for_import
CONTRACTS	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\contracts\model-adapter-safety-policy.json	model-adapter-safety-policy.json	.json	846	2026-06-18T07:25:44	True
CONTRACTS	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\contracts\model-adapter-standard-contract.json	model-adapter-standard-contract.json	.json	796	2026-06-18T07:25:44	True
CONTRACTS	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\contracts\model-capability-gates.json	model-capability-gates.json	.json	276	2026-06-18T07:26:53	True
CONTRACTS	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\contracts\model-context-binding.json	model-context-binding.json	.json	563	2026-06-18T07:25:44	True
CONTRACTS	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\contracts\normalized-output-mapping.json	normalized-output-mapping.json	.json	628	2026-06-18T07:25:44	True
CONTRACTS	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\rules\model-adapter-rules.json	model-adapter-rules.json	.json	293	2026-06-18T07:26:53	True
CONTRACTS	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\rules\model-execution-modes.json	model-execution-modes.json	.json	509	2026-06-18T07:26:53	True
ARCHITECTURE	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\samples\model-gate-request-sample.json	model-gate-request-sample.json	.json	190	2026-06-18T07:26:53	True
ARCHITECTURE	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\samples\sample-model-request.json	sample-model-request.json	.json	1278	2026-06-18T07:25:44	True
CONTRACTS	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\schemas\model-evidence.schema.json	model-evidence.schema.json	.json	491	2026-06-18T07:25:44	True
CONTRACTS	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\schemas\model-request.schema.json	model-request.schema.json	.json	914	2026-06-18T07:25:44	True
CONTRACTS	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\schemas\model-response.schema.json	model-response.schema.json	.json	638	2026-06-18T07:25:44	True
PROMPTS	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\schemas\prompt-envelope.schema.json	prompt-envelope.schema.json	.json	617	2026-06-18T07:25:44	True
ARCHITECTURE	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\tools\Invoke-ModelAdapterDryRunPipeline.ps1	Invoke-ModelAdapterDryRunPipeline.ps1	.ps1	672	2026-06-18T07:26:53	True
ARCHITECTURE	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\tools\Invoke-ModelAdapterMock.ps1	Invoke-ModelAdapterMock.ps1	.ps1	569	2026-06-18T07:26:53	True
ARCHITECTURE	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\tools\Invoke-ModelAdapterStandardValidator.ps1	Invoke-ModelAdapterStandardValidator.ps1	.ps1	1506	2026-06-18T07:26:53	True
MANUALS	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\HUMAN_MACHINE_MANUAL.md	HUMAN_MACHINE_MANUAL.md	.md	307	2026-06-18T07:26:57	True
ARCHITECTURE	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\module.json	module.json	.json	559	2026-06-18T07:25:44	True
ARCHITECTURE	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\NEXT_OBJECTIVE.md	NEXT_OBJECTIVE.md	.md	171	2026-06-18T07:26:57	True
MANUALS	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_MODEL_ADAPTER_STANDARD_001\README.md	README.md	.md	156	2026-06-18T07:26:57	True
CONTRACTS	data\_OFFICIAL_MODULES\_NEXT_MODULES\ENGREMIAT_NEEDS_TO_SOLUTION_PROPOSAL_001\contracts\needs-to-solution-contract.json	needs-to-solution-contract.json	.json	927	2026-06-18T06:49:52	True
